神戸製鋼所,5406.T,837.0,690.4,0,0,0,-146.6,0
ジェイ　エフ　イー　ホールディングス,5411.T,1648.0,1652.6,0,1,0,4.6,0
大平洋金属,5541.T,1968.0,1958.0,0,0,0,-10.0,0
日本製鋼所,5631.T,2631.0,2628.1,0,0,0,-2.9,0
日本軽金属ホールディングス,5703.T,1428.0,1447.7,0,1,0,19.7,0
三井金属鉱業,5706.T,3330.0,3318.6,0,0,0,-11.4,0
三菱マテリアル,5711.T,2101.0,2066.3,0,0,0,-34.7,0
住友金属鉱山,5713.T,5115.0,5049.1,0,0,0,-65.9,0
DOWAホールディングス,5714.T,4480.0,4435.1,0,0,0,-44.9,0
古河電気工業,5801.T,2377.0,2364.0,0,0,0,-13.0,0
住友電気工業,5802.T,1719.5,1624.0,0,0,0,-95.5,0
フジクラ,5803.T,972.0,963.1,0,0,0,-8.9,0
しずおかフィナンシャルグループ,5831.T,1096.0,1075.0,0,0,0,-21.0,0
リクルートホールディングス,6098.T,3999.0,3968.7,0,0,0,-30.3,0
オークマ,6103.T,5320.0,5267.3,0,0,0,-52.7,0
アマダ,6113.T,1202.0,1129.6,0,0,0,-72.4,0
日本郵政,6178.T,1200.0,1124.2,0,0,0,-75.8,0
SMC,6273.T,68460.0,68783.2,0,1,0,323.2,0
小松製作所,6301.T,3215.0,3277.0,0,1,0,62.0,0
住友重機械工業,6302.T,2918.0,2924.1,0,1,0,6.1,0
日立建機,6305.T,3070.0,3113.6,0,1,0,43.6,0
クボタ,6326.T,2075.0,2041.2,0,0,0,-33.8,0
荏原製作所,6361.T,5630.0,5707.2,0,1,0,77.2,0
ダイキン工業,6367.T,23175.0,22671.5,0,0,0,-503.5,0
日本精工,6471.T,741.0,742.7,0,1,0,1.7,0
NTN,6472.T,333.0,286.2,0,0,0,-46.8,0
ジェイテクト,6473.T,1016.0,1019.1,0,1,0,3.1,0
ミネベアミツミ,6479.T,2440.0,2410.3,0,0,0,-29.7,0
日立製作所,6501.T,7000.0,6917.1,0,0,0,-82.9,0
三菱電機,6503.T,1531.0,1424.3,0,0,0,-106.7,0
安川電機,6506.T,5150.0,4635.8,0,0,0,-514.2,0
日本電産,6594.T,7121.0,7118.1,0,0,0,-2.9,0
オムロン,6645.T,7403.0,7369.5,0,0,0,-33.5,0
ジーエス・ユアサ　コーポレーション,6674.T,2468.0,2482.5,0,1,0,14.5,0
日本電気,6701.T,4805.0,4776.9,0,0,0,-28.1,0
富士通,6702.T,17975.0,17931.3,0,0,0,-43.7,0
セイコーエプソン,6724.T,1840.0,1865.4,0,1,0,25.4,0
パナソニックホールディングス,6752.T,1205.5,1202.7,0,0,0,-2.8,0
シャープ,6753.T,964.0,971.3,0,1,0,7.3,0
ソニーグループ,6758.T,11760.0,11693.9,0,0,0,-66.1,0
TDK,6762.T,4620.0,4696.9,0,1,0,76.9,0
アルプスアルパイン,6770.T,1450.0,1455.5,0,1,0,5.5,0
横河電機,6841.T,2133.0,2200.2,0,1,0,67.2,0
アドバンテスト,6857.T,10230.0,9747.1,0,0,0,-482.9,0
キーエンス,6861.T,60600.0,58109.8,0,0,0,-2490.2,0
デンソー,6902.T,7437.0,7407.5,0,0,0,-29.5,0
カシオ計算機,6952.T,1339.0,1336.4,0,0,0,-2.6,0
ファナック,6954.T,23010.0,23707.3,0,1,0,697.3,0
京セラ,6971.T,6633.0,6695.7,0,1,0,62.7,0
太陽誘電,6976.T,4210.0,4210.6,0,1,0,0.6,0
村田製作所,6981.T,7559.0,7495.8,0,0,0,-63.2,0
日東電工,6988.T,8430.0,8534.8,0,1,0,104.8,0
三井Ｅ＆Ｓホールディングス,7003.T,431.0,432.7,0,1,0,1.7,0
日立造船,7004.T,899.0,887.7,0,0,0,-11.3,0
三菱重工業,7011.T,5025.0,4995.0,0,0,0,-30.0,0
川崎重工業,7012.T,3025.0,3118.1,0,1,0,93.1,0
IHI,7013.T,3680.0,3709.7,0,1,0,29.7,0
コンコルディア・フィナンシャルグループ,7186.T,580.0,569.8,0,0,0,-10.2,0
